Name,Type,Average AA,Use,Recipes
Charles Faram - NZ Pacific Jade,Pellet,12.9,Boil,450
Charles Faram - NZ Southern Cross,Pellet,12.6,Boil,33
Charles Faram - Olicana,Pellet,7.8,Whirlpool,738
Charles Faram - Pacific Gem,Pellet,15.2,Boil,14
Charles Faram - Pacifica,Pellet,7.3,Boil,4
Charles Faram - Palisade,Pellet,8,Boil,9
Charles Faram - Pekko,Leaf/Whole,15,Whirlpool,40
Charles Faram - Perle,Pellet,7.5,Boil,138
Charles Faram - Phoenix,Pellet,11.7,Whirlpool,61
Charles Faram - Pilgrim,Pellet,13.6,Boil,85
Charles Faram - Pilot,Pellet,9.2,Boil,26
Charles Faram - Pioneer,Leaf/Whole,10.1,Boil,7
Charles Faram - Polaris,Pellet,20.4,Boil,89
Charles Faram - Premiant,Pellet,9.4,Boil,104
Charles Faram - Pride of Ringwood,Pellet,10.5,Boil,11
Charles Faram - Progress,Leaf/Whole,6.4,Boil,10
Charles Faram - Pulawski,Pellet,7.3,Boil,10
Charles Faram - Rakau,Pellet,10.8,Whirlpool,59
Charles Faram - Saaz,Pellet,3.5,Boil,246
